epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,254.402,1.44691,0.75411,0.82746,0.82581,0.6792,0.72919,0.39372,1.35709,0.65568,0.81185,0.000742625,0.000742625,0.000742625
43,260.44,1.41458,0.74365,0.81901,0.90805,0.64105,0.7304,0.40666,1.2476,0.64896,0.81072,0.00073025,0.00073025,0.00073025
44,265.697,1.35809,0.7377,0.82409,0.79299,0.67122,0.709,0.39992,1.23783,0.65341,0.80575,0.000717875,0.000717875,0.000717875
45,271.558,1.3786,0.74807,0.82336,0.84747,0.66699,0.73103,0.42481,1.24523,0.64269,0.80974,0.0007055,0.0007055,0.0007055
46,277.336,1.39811,0.74533,0.82107,0.87614,0.66146,0.74538,0.40799,1.24421,0.63063,0.81184,0.000693125,0.000693125,0.000693125
47,283.837,1.41705,0.74115,0.82304,0.78253,0.67487,0.70503,0.39863,1.25536,0.65659,0.81137,0.00068075,0.00068075,0.00068075
48,289.466,1.38704,0.73083,0.81898,0.80451,0.66404,0.72896,0.40258,1.26302,0.65004,0.81098,0.000668375,0.000668375,0.000668375
49,295.706,1.39365,0.70168,0.80703,0.85362,0.64144,0.74098,0.40994,1.21945,0.64416,0.80897,0.000656,0.000656,0.000656
50,301.326,1.42236,0.72643,0.81685,0.83989,0.65691,0.7262,0.40421,1.26188,0.66013,0.81397,0.000643625,0.000643625,0.000643625
51,307.082,1.39244,0.71066,0.81511,0.80153,0.66999,0.73176,0.40641,1.27482,0.66247,0.81506,0.00063125,0.00063125,0.00063125
52,312.928,1.33808,0.6936,0.81262,0.84686,0.65468,0.71307,0.39017,1.30844,0.66971,0.82391,0.000618875,0.000618875,0.000618875
53,318.421,1.35494,0.68167,0.81723,0.85184,0.70516,0.75344,0.41646,1.23322,0.61714,0.81093,0.0006065,0.0006065,0.0006065
54,324.41,1.3905,0.7085,0.82061,0.92488,0.67614,0.7619,0.41206,1.27664,0.61545,0.80872,0.000594125,0.000594125,0.000594125
55,330.195,1.36101,0.70175,0.81916,0.84974,0.70974,0.75709,0.42402,1.22979,0.62604,0.80908,0.00058175,0.00058175,0.00058175
56,336.476,1.34015,0.67133,0.80488,0.87518,0.69631,0.74547,0.42467,1.21476,0.62318,0.80585,0.000569375,0.000569375,0.000569375
57,342.06,1.35656,0.67953,0.81062,0.75856,0.69084,0.73519,0.42351,1.23086,0.62393,0.81019,0.000557,0.000557,0.000557
58,348.481,1.38717,0.69969,0.81523,0.84143,0.69038,0.74311,0.42895,1.20517,0.61504,0.80528,0.000544625,0.000544625,0.000544625
59,353.858,1.31892,0.67683,0.81313,0.80525,0.6531,0.72269,0.41145,1.19906,0.61505,0.80637,0.00053225,0.00053225,0.00053225
60,359.651,1.32786,0.6651,0.80543,0.82812,0.69673,0.75499,0.42653,1.21502,0.61355,0.80508,0.000519875,0.000519875,0.000519875
61,365.333,1.30368,0.67985,0.81107,0.83485,0.73203,0.76297,0.43389,1.20022,0.59372,0.80567,0.0005075,0.0005075,0.0005075
62,370.866,1.36213,0.6879,0.81606,0.87162,0.65851,0.74614,0.41691,1.20862,0.61478,0.80693,0.000495125,0.000495125,0.000495125
63,377.049,1.35248,0.67572,0.81448,0.85982,0.6778,0.74946,0.4368,1.22315,0.61902,0.80598,0.00048275,0.00048275,0.00048275
64,382.914,1.34847,0.69313,0.81467,0.8687,0.69997,0.7634,0.44839,1.20496,0.60327,0.80443,0.000470375,0.000470375,0.000470375
65,389.214,1.33983,0.66266,0.80843,0.85518,0.72699,0.76933,0.43853,1.20997,0.58907,0.80391,0.000458,0.000458,0.000458
66,394.488,1.29884,0.66537,0.8204,0.89065,0.72084,0.76922,0.4392,1.23174,0.58953,0.80473,0.000445625,0.000445625,0.000445625
67,400.506,1.37946,0.68502,0.80932,0.89126,0.68102,0.76565,0.43627,1.2077,0.60857,0.80566,0.00043325,0.00043325,0.00043325
68,406.304,1.34564,0.67923,0.81175,0.8772,0.67788,0.75211,0.44816,1.19549,0.59525,0.80311,0.000420875,0.000420875,0.000420875
69,412.512,1.31272,0.66896,0.81443,0.86303,0.69848,0.75067,0.4291,1.18817,0.59395,0.80376,0.0004085,0.0004085,0.0004085
70,418.435,1.34614,0.66654,0.81375,0.81276,0.71477,0.75918,0.42311,1.24405,0.61085,0.80543,0.000396125,0.000396125,0.000396125
71,423.769,1.35241,0.66028,0.80808,0.81656,0.71109,0.75854,0.43205,1.2048,0.59755,0.80263,0.00038375,0.00038375,0.00038375
72,429.994,1.36049,0.67899,0.81077,0.82237,0.70796,0.76281,0.43619,1.20288,0.59245,0.80311,0.000371375,0.000371375,0.000371375
73,435.181,1.3192,0.64808,0.80991,0.84593,0.70198,0.77433,0.44477,1.21818,0.59277,0.80374,0.000359,0.000359,0.000359
74,441.44,1.30827,0.66529,0.81467,0.86456,0.7044,0.76715,0.44478,1.19319,0.59735,0.80554,0.000346625,0.000346625,0.000346625
75,447.164,1.35348,0.67655,0.81635,0.8653,0.68629,0.76547,0.44535,1.20605,0.60413,0.80734,0.00033425,0.00033425,0.00033425
76,453.753,1.29306,0.64902,0.80957,0.92888,0.70538,0.77835,0.45936,1.1815,0.58565,0.80416,0.000321875,0.000321875,0.000321875
77,459.366,1.30433,0.64349,0.80468,0.89175,0.71307,0.78053,0.45536,1.16964,0.57806,0.80503,0.0003095,0.0003095,0.0003095
78,465.571,1.28292,0.6443,0.81106,0.87512,0.70727,0.76406,0.45487,1.18839,0.59883,0.8067,0.000297125,0.000297125,0.000297125
79,471.221,1.28297,0.64009,0.8128,0.86928,0.68975,0.76258,0.44896,1.18155,0.5777,0.8038,0.00028475,0.00028475,0.00028475
80,477.722,1.29525,0.64312,0.80851,0.88745,0.72154,0.7766,0.45145,1.168,0.56936,0.80022,0.000272375,0.000272375,0.000272375
81,483.382,1.28793,0.63691,0.80987,0.89769,0.73355,0.77784,0.4543,1.19233,0.57441,0.79973,0.00026,0.00026,0.00026
